Site,Target URL,Opportunity Type,Prospect Name,Prospect URL,Contact Name,Contact Email,Contact Form URL,Phone,Relevance Score,Authority Score,Difficulty,Estimated Value,Suggested Angle,Outreach Status,Last Contacted,Follow-Up Date,Notes,Evidence URL
SGD,https://www.smartestgaragedoors.com/commercial-garage-door-repair/,trade-directory,ThomasNet,https://www.thomasnet.com/,,,https://business.thomasnet.com/programs,,5,4,2,high,Claim free supplier listing under Overhead Doors + Dock Equipment categories (competitors listed),new,,,Free tier exists; competitors Overhead Door Co Meadowlands + LoadingDock.com hold indexed listings,https://www.thomasnet.com/suppliers/northern-new-jersey/all-cities/overhead-doors-23770407
SGD,https://www.smartestgaragedoors.com/,association,International Door Association (IDA),https://doors.org/,,,https://doors.org/,,5,4,2,high,Membership includes member directory listing + commercial dealer recognition lists,new,,,Paid membership - owner approval for spend,https://doors.org/
SGD,https://www.smartestgaragedoors.com/property-managers/,association,BOMA New York,https://www.bomany.org/,,,https://www.bomany.org/,,5,4,3,high,Allied member vendor directory reaches property managers directly,new,,,Membership-gated; costly but exactly the commercial target audience,https://www.bomany.org/
SGD,https://www.smartestgaragedoors.com/property-managers/,association,IREM New York chapters,https://www.irem.org/,,,https://www.irem.org/join,,5,3,3,high,Chapter vendor/industry-partner listing for property managers,new,,,Verify NY chapter vendor program details first,https://www.irem.org/
SGD,https://www.smartestgaragedoors.com/,chamber,Queens Chamber of Commerce,https://queenschamber.org/,,,https://queenschamber.org/,,4,3,2,medium,Membership + member directory listing + local business events,new,,,Paid membership - owner approval,https://queenschamber.org/
SGD,https://www.smartestgaragedoors.com/brooklyn-ny/,chamber,Brooklyn Chamber of Commerce,https://www.brooklynchamber.com/,,,https://www.brooklynchamber.com/,,4,3,2,medium,Membership + directory,new,,,Paid - owner approval,https://www.brooklynchamber.com/
SGD,https://www.smartestgaragedoors.com/westchester-county-ny/,chamber,Business Council of Westchester,https://thebcw.org/,,,https://thebcw.org/,,4,3,2,medium,Membership + directory covering White Plains/New Rochelle target area,new,,,Paid - owner approval,https://thebcw.org/
SGD,https://www.smartestgaragedoors.com/,dealer-locator,LiftMaster dealer locator,https://www.liftmaster.com/where-to-buy,,,,,5,5,3,high,Authorized-dealer locator listing IF dealer status exists,blocked-on-owner,,,TODO(owner): confirm actual LiftMaster dealer/authorized status before pursuing,https://www.liftmaster.com/where-to-buy
SGD,https://www.smartestgaragedoors.com/,dealer-locator,Clopay dealer locator,https://www.clopaydoor.com/dealer-locator,,,,,5,5,3,high,Dealer locator IF relationship exists,blocked-on-owner,,,TODO(owner): confirm Clopay relationship,https://www.clopaydoor.com/dealer-locator
SGD,https://www.smartestgaragedoors.com/commercial-maintenance-contracts/,procurement-platform,Avetta,https://www.avetta.com/,,,https://www.avetta.com/,,4,4,4,high,Contractor safety pre-qualification - required by large industrial/logistics clients; competitor Allmark displays it,new,,,Slow + paid; start early per page-1 plan; owner approval,https://allmarkdoors.com/
SGD,https://www.smartestgaragedoors.com/commercial-maintenance-contracts/,procurement-platform,ISNetworld,https://www.isnetworld.com/,,,,,4,4,4,high,Same procurement-qualification play as Avetta,new,,,Paid; owner approval,https://allmarkdoors.com/
SGD,https://www.smartestgaragedoors.com/,citation,Bing Places,https://www.bingplaces.com/,,,,,4,4,1,medium,Claim + GBP import,new,,,Owner account needed,https://www.bingplaces.com/
SGD,https://www.smartestgaragedoors.com/,citation,Apple Business Connect,https://businessconnect.apple.com/,,,,,4,4,1,medium,Claim listing for Apple Maps,new,,,Owner Apple ID needed,https://businessconnect.apple.com/
SGD,https://www.smartestgaragedoors.com/,citation,Yelp for Business,https://business.yelp.com/,,,,,4,4,1,medium,Claim/complete listing; do not buy ads,new,,,Check for unclaimed auto-listing first,https://business.yelp.com/
SGD,https://www.smartestgaragedoors.com/,citation,Angi,https://www.angi.com/,,,,,3,3,1,low,Free listing claim,new,,,Free tier only unless owner wants leads program,https://www.angi.com/
SGD,https://www.smartestgaragedoors.com/,citation,Nextdoor Business,https://business.nextdoor.com/,,,,,4,3,1,medium,Neighborhood presence in Queens/Westchester,new,,,Owner account,https://business.nextdoor.com/
SGD,https://www.smartestgaragedoors.com/blog/,expert-quotes,Connectively (ex-HARO) / Help a B2B Writer,https://connectively.us/,,,,,4,4,3,medium,Owner as garage-door/home-safety expert source for reporter queries,new,,,Ongoing lane; AI monitors queries + drafts responses; owner sends,https://connectively.us/
SGD,https://www.smartestgaragedoors.com/queens-ny/,local-press,Patch (Queens + Westchester editions),https://patch.com/newyork/queens,,,https://patch.com/newyork/queens,,4,3,2,medium,Local business features + seasonal safety stories; Patch accepts local contributions,new,,,Per-edition contacts; winter-prep angle Oct-Nov,https://patch.com/newyork/queens
SGD,https://www.smartestgaragedoors.com/,local-press,QNS.com,https://qns.com/,,,https://qns.com/contact-us/,,4,3,3,medium,Queens small-business story / home safety expert,new,,,,https://qns.com/
ZE,https://zackandelle.com/,review-platform,Trustpilot,https://business.trustpilot.com/,,,,,5,5,2,high,Stand up review collection - the #1 verified authority gap vs Grown Brilliance/Frank Darling,new,,,Free tier exists; owner account; prerequisite for editorial pitches,https://www.trustpilot.com/review/grownbrilliance.com
